Distance,Client_Log,Server_Log,Vec_Dim,Offline_Time(s),Online_Time(s),Communication(MB)

CosSim,7,7,16,27.6189,143.087,1355.06
CosSim,7,7,64,27.5498,229.269,5408.29
CosSim,7,7,256,27.5894,682.669,21621.4
CosSim,7,7,1024,27.4478,2517.43,86473.7

---

CosSim,6,7,128,27.1001,328.522,10812.7
CosSim,7,7,128,27.1875,335.764,10812.7
CosSim,8,7,128,27.1837,386.471,10812.7
CosSim,9,7,128,27.3596,380.195,10812.6

---


CosSim,7,6,128,26.2732,364.528,10812.6
CosSim,7,7,128,27.0884,390.448,10812.7
CosSim,7,8,128,27.1011,330.08,10812.8
CosSim,7,9,128,27.1415,317.314,10812.6



